"","wb"
"180",2.88247396437287
"181",2.05480578423114
"182",2.40554945490785
"183",1.45413152776689
"184",3.17090742055956
"185",3.53836096706353
"186",3.33569675054667
"187",1.64100728943433
"188",3.27421764357898
"189",3.66151540655597
"190",2.50004693136019
"191",2.1768966495203
"192",1.70294432336745
"193",1.59057213581934
"194",2.43538242142284
"195",2.80654093135304
"196",2.8809427771911
"197",2.35963295191897
"198",3.80276206282885
"199",1.970759370097
"200",4.03366016401321
"201",2.11865966286386
"202",2.75914946591935
"203",3.17438730137313
"204",2.55168575760854
"205",3.61422281448859
"206",2.34088948466114
"207",3.15914264695644
"208",2.5687471720993
"209",2.99796324094322
"210",2.97353011633027
"211",3.7336340125987
"212",3.67850658216639
"213",2.96657453054376
"214",2.4630441913987
"215",2.78061000414925
"216",2.36005210417055
"217",2.38981499644114
"218",1.81030312274811
"219",3.53849147805719
"220",3.03250558708528
"221",3.15851489810265
"222",2.54804004834802
"223",1.77860002338299
"224",2.16265879242045
"225",1.94581167571037
"226",3.93993924386712
"227",2.2980610160775
"228",2.44681326405916
"229",2.37492876980484
"230",3.10636757096632
"231",2.66570247387685
"232",2.10117205687382
"233",3.5982715756597
"234",1.79987944719519
"235",2.25134027918359
"236",3.53751615972047
"237",3.96126766009065
"238",2.94585478813416
"239",2.41616904513219
"240",2.57048039127325
"241",2.56015979367788
"242",2.56625051549217
"243",4.60137543685507
"244",3.12135401380647
"245",3.62094235435845
"246",1.75964460632005
"247",3.553847586724
"248",3.28021399264344
"249",2.5613469918938
"250",2.99533679055138
"251",2.14332567917168
"252",2.13381238470557
"253",2.80798586736575
"254",2.70904025047563
"255",2.61826841592832
"256",3.71767298956533
"257",1.86276011541045
"258",2.60700805422962
"259",2.42076486476098
"260",1.29538246405702
"261",3.90137806106651
"262",2.66418948644611
"263",3.32445165246212
"264",3.20668304992132
"265",3.3078840548189
"266",3.59043233394867
"267",2.37069219933298
"268",2.20385237539605
"269",3.56734591799571
"270",3.19162319898871
"271",3.51200712462579
"272",3.10389638742348
"273",1.81499285523181
"274",2.4796858408294
"275",2.21484039849893
"276",3.22855212531725
"277",3.39391488280438
"278",2.74720320735654
"279",2.74032365826459
"280",2.72652209491451
"281",1.55964317528301
"282",2.08956442856132
"283",2.91120872118733
"284",2.46887783294287
"285",2.55005752833237
"286",3.67442586960534
"287",0.851798135480686
"288",2.75052719315627
"289",3.16151067719822
"290",1.5716650566229
"291",1.594264349535
"292",2.41202876554062
"293",3.92253497144601
"294",2.86590484581921
"295",3.50711442727866
"296",3.41757922705133
"297",2.98783289830483
"298",2.22380599927504
"299",2.43277654847842
"300",3.72936387836993
"301",1.77001016911632
"302",1.94312323870125
"303",3.18737581874467
"304",2.35651338444845
"305",1.60888193484219
"306",1.37776983702184
"307",1.68243865295312
"308",2.03395104644203
"309",3.22861976465073
"310",1.8362407056633
"311",1.62008591889271
"312",2.42824841086531
"313",2.053797596484
"314",2.84138706064195
"315",2.81252234061866
"316",2.03549568680865
"317",1.36864369425693
"318",2.08804169559698
"319",0.899056668042683
"320",3.17523865602104
"321",1.74207089446206
"322",2.82255331322072
"323",2.16551501727698
"324",3.81838869423702
"325",3.33588157018017
"326",3.08989002738111
"327",3.00721151603639
"328",3.05380690827837
"329",3.49607663814226
"330",1.83726373795198
"331",1.75873711764445
"332",3.933330023917
"333",3.73002054965789
"334",2.47388428722138
"335",1.73661052026319
"336",3.04615297899049
"337",1.12429290021784
"338",1.49290144158931
"339",1.92010265587838
"340",2.55016530603879
"341",2.38855852207271
"342",4.45080091850152
"343",3.39138616096769
"344",3.10759683463855
"345",2.14247188325217
"346",3.18313800960609
"347",1.75250898945867
"348",2.60884403472374
"349",1.51505825988291
"350",1.92732696435962
"351",2.68043583062945
"352",2.96734136551259
"353",1.78354521505965
"354",3.24088707730517
"355",3.47577812923805
"356",3.08057025498753
"357",2.57659585706555
"358",2.28477243487646
"359",2.68718091899189
"360",2.13090439974967
"361",4.06657244591294
"362",3.44857764334842
"363",2.63406219709519
"364",2.14194654229565
"365",2.67904083359202
"366",2.24790632261718
"367",2.7424423280752
"368",3.14966849859217
"369",3.66335846542306
"370",1.96485060342745
"371",2.75468586838453
"372",2.44531126142654
"373",3.8184782655553
"374",1.92088911187381
"375",1.71003358737212
"376",3.19239126040273
"377",2.50651442558418
"378",1.06932570214969
"379",1.90287619860624
"380",1.91912939972442
"381",2.70772543044935
"382",2.09918814766146
"383",2.28413714543055
"384",3.69629663865622
"385",2.75539103121925
"386",2.53778818912866
"387",1.79351805589365
"388",2.74948129311117
"389",3.21580847843253
"390",2.23605176626087
"391",2.73316365239608
"392",1.70486621491753
"393",2.52570401183173
"394",2.61774694962258
"395",2.84979131570015
"396",2.51767609343334
"397",2.111245694114
"398",2.23852337687765
"399",3.02852063868046
"400",2.87373604603399
"401",2.73659444731984
"402",2.94328419988548
"403",3.33376384435277
"404",2.50523740941781
"405",2.7567693437167
"406",2.76891103903901
"407",3.08442759643539
"408",2.2824198973269
"409",1.48887877309714
"410",3.07687780710422
"411",2.40159206523348
"412",1.56478426926578
"413",3.04825427184763
"414",1.59762984423072
"415",2.18682449673316
"416",2.12140654587568
"417",3.54511657698572
"418",2.00833397864071
"419",2.86811971243049
"420",4.08786186050753
"421",2.98472736562298
"422",3.12760535529894
"423",3.39564621657968
"424",2.3338813686642
"425",2.73788384204415
"426",2.20346285065211
"427",0.814259164936629
"428",2.995301856205
"429",3.53220488890706
"430",2.202153786727
"431",2.89286503599511
"432",3.19998732476871
"433",4.68881177753441
"434",2.60455971966099
"435",2.39510311536771
"436",2.31687939856616
"437",2.99446107237712
"438",3.18818125946616
"439",1.96176861828669
"440",3.35236153132703
"441",2.82627743468093
"442",2.4526050565328
"443",3.48943278099317
"444",1.49597902532285
"445",1.93581724035081
"446",2.38872565021834
"447",2.61564537531103
"448",2.24274626033146
"449",3.41884033606334
"450",2.9878082100764
"451",2.96701615457221
"452",1.6268468269746
"453",2.80188062097902
"454",2.05532165631
"455",3.23498963094125
"456",2.48775664942985
"457",2.2591433342889
"458",1.56593054407062
"459",2.12406008910096
"460",3.4365225419878
"461",3.4180455369913
"462",4.41193562426253
"463",2.76151908160308
"464",3.38217166734654
"465",2.65911768972676
"466",1.60230466924081
"467",2.7868645654115
"468",2.40908278772224
"469",3.18517617901619
"470",1.72542599028146
"471",3.4410818454411
"472",2.05804564665702
"473",2.24716836235374
"474",3.21050705038654
"475",3.08239729744391
"476",3.4707271845972
"477",2.21361190345196
"478",4.35204604925733
"479",2.77575337886893
"480",3.17072586727859
"481",3.18403008805247
"482",2.24635255680032
"483",1.3568818032381
"484",3.28558306123383
"485",3.84173224721071
"486",2.06589088804339
"487",1.66274594204098
"488",3.62661946864934
"489",1.31245130876178
"490",4.05049199239777
"491",1.70674659214327
"492",2.00979763999127
"493",2.79760797623259
"494",2.56056243662688
"495",3.20746043144155
"496",1.73418203728978
"497",1.26852005987511
"498",3.68973944429056
"499",2.29168258091657
"500",2.72563029513987
